X_inv_KCI_p,X_inv_KCI_rej,X_inv_KCI_time,Y_inv_KCI_p,Y_inv_KCI_rej,Y_inv_KCI_time,Z_inv_KCI_p,Z_inv_KCI_rej,Z_inv_KCI_time,NP_KCI_p,NP_KCI_rej,NP_KCI_time
0.095,false,0.071903384,0.015,true,0.070640114,0.115,false,0.072339873,0.085,false,0.077002509
0.0,true,0.071986305,0.25,false,0.072096991,0.075,false,0.074445769,0.09,false,0.08153105
0.13,false,0.073514732,0.12,false,0.069529638,0.105,false,0.078396271,0.085,false,0.081092823
0.0,true,0.071585629,0.15,false,0.071207817,0.0,true,0.075986521,0.045,true,0.078251125
0.0,true,0.074035429,0.11,false,0.066934065,0.105,false,0.074668684,0.115,false,0.084457659
0.0,true,0.082947729,0.04,true,0.067111227,0.09,false,0.073337619,0.06,false,0.081417457
0.09,false,0.071670993,0.13,false,0.068357719,0.05,true,0.074480946,0.11,false,0.077418447
0.12,false,0.077273051,0.14,false,0.068322725,0.07,false,0.074215894,0.175,false,0.074757463
0.075,false,0.068505645,0.0,true,0.06571341,0.125,false,0.078879024,0.145,false,0.076426364
0.175,false,0.073401276,0.105,false,0.069109477,0.1,false,0.074659487,0.1,false,0.07428987
0.125,false,0.072751796,0.135,false,0.06614508,0.155,false,0.075952497,0.14,false,0.077344209
0.125,false,0.072093521,0.065,false,0.066073865,0.04,true,0.076086483,0.0,true,0.076778986
0.085,false,0.072691071,0.085,false,0.070288706,0.13,false,0.078517556,0.115,false,0.074111409
0.13,false,0.070091062,0.11,false,0.070504943,0.07,false,0.073085206,0.135,false,0.075853003
0.0,true,0.070793237,0.085,false,0.065458375,0.12,false,0.080107525,0.08,false,0.069697916
0.0,true,0.071941681,0.01,true,0.067564982,0.06,false,0.076236765,0.105,false,0.077964832
0.11,false,0.070613131,0.08,false,0.068611974,0.0,true,0.078843676,0.125,false,0.078548118
0.0,true,0.078684038,0.01,true,0.067587838,0.0,true,0.080209883,0.105,false,0.076203974
0.0,true,0.07218285,0.17,false,0.067356136,0.1,false,0.070202871,0.075,false,0.074249629
0.0,true,0.070065852,0.115,false,0.066896138,0.115,false,0.073056017,0.0,true,0.076843632
0.0,true,0.071639719,0.12,false,0.068892247,0.105,false,0.077172886,0.125,false,0.070837549
0.0,true,0.071233193,0.135,false,0.070789886,0.075,false,0.075417177,0.045,true,0.074991794
0.0,true,0.070735728,0.085,false,0.072479291,0.07,false,0.075513054,0.03,true,0.080084029
0.185,false,0.073275472,0.135,false,0.068865225,0.135,false,0.073431731,0.12,false,0.081273929
0.0,true,0.07076715,0.105,false,0.06537777,0.155,false,0.071888659,0.125,false,0.073794823
0.15,false,0.070081289,0.11,false,0.074992471,0.09,false,0.070863075,0.0,true,0.074000543
0.065,false,0.069922719,0.025,true,0.07860288,0.1,false,0.08126808,0.0,true,0.078638284
0.065,false,0.068286208,0.0,true,0.079278374,0.14,false,0.075472509,0.02,true,0.076521952
0.055,false,0.071508123,0.07,false,0.077381984,0.075,false,0.078011583,0.09,false,0.074438685
0.085,false,0.071191924,0.035,true,0.074856897,0.095,false,0.076001369,0.055,false,0.077399864
0.06,false,0.072907982,0.085,false,0.07553614,0.1,false,0.076224105,0.13,false,0.07262402
0.0,true,0.068349972,0.07,false,0.074227192,0.135,false,0.076736018,0.06,false,0.071009448
0.16,false,0.069130696,0.14,false,0.077820778,0.175,false,0.081185946,0.17,false,0.071284358
0.145,false,0.071675702,0.0,true,0.069494817,0.145,false,0.0738216,0.06,false,0.071977937
0.165,false,0.067169607,0.0,true,0.074574295,0.14,false,0.071932482,0.06,false,0.069857465
0.01,true,0.072398445,0.04,true,0.072713738,0.08,false,0.070998112,0.08,false,0.077922407
0.0,true,0.072394532,0.035,true,0.074037185,0.09,false,0.067554048,0.1,false,0.07414071
0.0,true,0.075766848,0.04,true,0.07192615,0.09,false,0.065191522,0.005,true,0.07113046
0.065,false,0.070347163,0.07,false,0.075158786,0.105,false,0.070665481,0.075,false,0.06930808
0.175,false,0.068464527,0.0,true,0.074167782,0.055,false,0.074965612,0.11,false,0.068884332
0.0,true,0.07255557,0.03,true,0.076265622,0.095,false,0.068696815,0.065,false,0.073647467
0.0,true,0.075297333,0.115,false,0.076691724,0.0,true,0.073634024,0.135,false,0.077032711
0.055,false,0.071967616,0.065,false,0.069756237,0.125,false,0.066821879,0.0,true,0.077603717
0.0,true,0.07649202,0.025,true,0.070649066,0.06,false,0.069246947,0.065,false,0.069215032
0.1,false,0.069127231,0.145,false,0.076792249,0.085,false,0.069282876,0.125,false,0.069207236
0.15,false,0.07346198,0.03,true,0.076392822,0.145,false,0.074060111,0.14,false,0.072989629
0.055,false,0.069272526,0.0,true,0.07265671,0.12,false,0.069666685,0.095,false,0.069134647
0.0,true,0.077386089,0.065,false,0.075952839,0.125,false,0.066613704,0.145,false,0.072696232
0.0,true,0.071350903,0.135,false,0.072509517,0.0,true,0.069893323,0.095,false,0.078562429
0.03,true,0.069681446,0.085,false,0.071941228,0.07,false,0.069354204,0.065,false,0.073324008
0.08,false,0.069142491,0.045,true,0.070108174,0.1,false,0.068364441,0.15,false,0.071329375
0.0,true,0.069081128,0.215,false,0.074409837,0.11,false,0.07366964,0.175,false,0.073214921
0.2,false,0.070497131,0.07,false,0.069762122,0.125,false,0.069164689,0.145,false,0.069146003
0.0,true,0.078898643,0.11,false,0.077806181,0.115,false,0.06972726,0.145,false,0.070058593
0.0,true,0.074350815,0.0,true,0.072632387,0.06,false,0.072280437,0.11,false,0.07486683
0.0,true,0.073709441,0.11,false,0.069345375,0.15,false,0.065712793,0.085,false,0.067456087
0.0,true,0.071254984,0.03,true,0.073451302,0.105,false,0.067445997,0.125,false,0.073072515
0.0,true,0.069500441,0.0,true,0.076159279,0.145,false,0.067306883,0.12,false,0.072079909
0.1,false,0.067141486,0.155,false,0.069572683,0.125,false,0.071372256,0.115,false,0.069261002
0.065,false,0.074460528,0.145,false,0.077877328,0.145,false,0.068802945,0.135,false,0.071247722
0.04,true,0.072232688,0.135,false,0.072982418,0.195,false,0.065336461,0.125,false,0.075167673
0.13,false,0.077314919,0.13,false,0.074270313,0.05,true,0.066360905,0.155,false,0.070645954
0.165,false,0.0775057,0.07,false,0.074242254,0.07,false,0.067578032,0.11,false,0.073287969
0.09,false,0.072384045,0.12,false,0.076675802,0.1,false,0.06943042,0.1,false,0.072951528
0.0,true,0.077219265,0.05,true,0.074556454,0.1,false,0.072824244,0.11,false,0.078156247
0.0,true,0.079386917,0.055,false,0.071129381,0.08,false,0.068656814,0.1,false,0.075889597
0.0,true,0.068676901,0.13,false,0.074083163,0.09,false,0.069286175,0.105,false,0.083090884
0.075,false,0.069860029,0.14,false,0.073259907,0.185,false,0.070313338,0.155,false,0.084373275
0.17,false,0.069963252,0.16,false,0.073428326,0.205,false,0.067750684,0.16,false,0.084967807
0.045,true,0.070145519,0.075,false,0.073508025,0.11,false,0.069835164,0.14,false,0.081944081
0.0,true,0.073882055,0.11,false,0.072730748,0.06,false,0.076606206,0.065,false,0.080709772
0.0,true,0.075344313,0.07,false,0.073753454,0.07,false,0.075708588,0.1,false,0.07996315
0.125,false,0.071737193,0.165,false,0.07298628,0.09,false,0.072687496,0.0,true,0.078609406
0.0,true,0.067222546,0.12,false,0.07364411,0.08,false,0.07047128,0.165,false,0.079604108
0.2,false,0.076039416,0.27,false,0.070802529,0.15,false,0.077406096,0.14,false,0.072557976
0.12,false,0.074227811,0.115,false,0.077021754,0.07,false,0.072683366,0.07,false,0.071240682
0.155,false,0.074586296,0.08,false,0.075004304,0.135,false,0.078249706,0.105,false,0.077388528
0.065,false,0.078752546,0.025,true,0.072293041,0.13,false,0.07743383,0.11,false,0.077141586
0.0,true,0.077703664,0.09,false,0.07271458,0.07,false,0.076767671,0.11,false,0.077495315
0.05,true,0.074103632,0.055,false,0.075234894,0.085,false,0.073738346,0.065,false,0.078808098
0.13,false,0.073143826,0.02,true,0.07538816,0.12,false,0.072580239,0.15,false,0.072737203
0.0,true,0.073295998,0.055,false,0.073146166,0.09,false,0.073466463,0.145,false,0.074104217
0.11,false,0.073119865,0.155,false,0.071290892,0.14,false,0.079831674,0.14,false,0.073405683
0.15,false,0.074750336,0.125,false,0.074845977,0.135,false,0.07988655,0.08,false,0.073144421
0.115,false,0.070507547,0.03,true,0.071331699,0.12,false,0.071249251,0.085,false,0.07530338
0.035,true,0.066197044,0.16,false,0.069909165,0.135,false,0.071178413,0.145,false,0.079943143
0.1,false,0.073926517,0.115,false,0.073721207,0.185,false,0.072175642,0.07,false,0.071722061
0.015,true,0.073293763,0.07,false,0.073189387,0.055,false,0.076733646,0.045,true,0.075481904
0.0,true,0.071135209,0.0,true,0.074094435,0.065,false,0.077374264,0.05,true,0.077604786
0.06,false,0.073822362,0.06,false,0.07547484,0.04,true,0.081499183,0.065,false,0.075538285
0.1,false,0.068130714,0.11,false,0.071987394,0.085,false,0.073276258,0.1,false,0.07555542
0.0,true,0.070554257,0.1,false,0.073923741,0.09,false,0.079279817,0.105,false,0.079453204
0.0,true,0.071295713,0.215,false,0.07622262,0.075,false,0.070284513,0.09,false,0.081623138
0.06,false,0.071429634,0.195,false,0.070638436,0.14,false,0.068125734,0.12,false,0.075234003
0.09,false,0.071177635,0.11,false,0.070819276,0.1,false,0.068587429,0.085,false,0.077093386
0.0,true,0.080881275,0.07,false,0.067471062,0.135,false,0.075416206,0.145,false,0.075734857
0.115,false,0.070636672,0.135,false,0.068916901,0.135,false,0.065421208,0.085,false,0.074399863
0.115,false,0.073127309,0.075,false,0.067225544,0.15,false,0.069333197,0.0,true,0.077980119
0.11,false,0.070704882,0.005,true,0.070011113,0.085,false,0.069765761,0.08,false,0.078410567
0.14,false,0.075031246,0.1,false,0.07167832,0.145,false,0.066957411,0.095,false,0.07335545
0.085,false,0.068974864,0.12,false,0.068057788,0.105,false,0.072103165,0.17,false,0.076665713
0.0,true,0.078740233,0.045,true,0.06606892,0.125,false,0.068778226,0.1,false,0.0767813
0.08,false,0.072362136,0.095,false,0.066422448,0.115,false,0.074500176,0.065,false,0.077918851
0.125,false,0.067419321,0.155,false,0.067644094,0.105,false,0.072086014,0.0,true,0.078665143
0.1,false,0.067768033,0.11,false,0.066328842,0.07,false,0.067114422,0.075,false,0.075751739
0.1,false,0.069397083,0.08,false,0.068260477,0.16,false,0.069908395,0.13,false,0.074679561
0.025,true,0.070052664,0.14,false,0.073028863,0.145,false,0.072087794,0.0,true,0.0751443
0.0,true,0.077370151,0.115,false,0.07441254,0.075,false,0.068364736,0.055,false,0.074590515
0.0,true,0.068050352,0.1,false,0.067808383,0.165,false,0.076077892,0.15,false,0.074547629
0.165,false,0.07013463,0.08,false,0.071090461,0.15,false,0.069205304,0.0,true,0.077682408
0.08,false,0.072046602,0.0,true,0.078430672,0.105,false,0.070741641,0.13,false,0.08029191
