H0_KCI_p,H0_KCI_rej,H0_KCI_time,H1_KCI_p,H1_KCI_rej,H1_KCI_time
0.66,false,0.020965143,0.085,false,0.0220668
0.44,false,0.021143596,0.01,true,0.022904739
0.09,false,0.02043461,0.015,true,0.021906138
0.32,false,0.020131477,0.0,true,0.022141512
0.31,false,0.019732389,0.0,true,0.022563417
0.475,false,0.020860766,0.005,true,0.023595166
0.58,false,0.019409539,0.0,true,0.021746484
0.61,false,0.020652575,0.015,true,0.022978544
0.14,false,0.020242171,0.0,true,0.022291549
0.305,false,0.020417902,0.15,false,0.023218963
0.385,false,0.019613025,0.0,true,0.02250264
0.23,false,0.019643208,0.005,true,0.021554572
0.46,false,0.020070672,0.005,true,0.028534173
0.41,false,0.025496437,0.025,true,0.021606634
0.19,false,0.019658041,0.01,true,0.02228386
0.195,false,0.020195683,0.07,false,0.021917925
0.555,false,0.019444999,0.025,true,0.021755283
0.435,false,0.02193283,0.03,true,0.022196883
0.255,false,0.022392345,0.015,true,0.023168762
0.31,false,0.02214995,0.055,false,0.022849682
0.255,false,0.019626415,0.01,true,0.021464246
0.285,false,0.020631701,0.005,true,0.023736852
0.21,false,0.019579609,0.105,false,0.02175096
0.395,false,0.020686515,0.005,true,0.022801248
0.265,false,0.020692445,0.0,true,0.021998524
0.255,false,0.021266391,0.06,false,0.021392702
0.285,false,0.021571845,0.045,true,0.022287958
0.24,false,0.02206171,0.045,true,0.022922379
0.3,false,0.020479549,0.03,true,0.02263915
0.175,false,0.020604933,0.04,true,0.022336266
0.245,false,0.019710517,0.105,false,0.021675468
0.52,false,0.021778999,0.02,true,0.022475193
0.4,false,0.021167706,0.005,true,0.022343067
0.375,false,0.021468617,0.125,false,0.021664427
0.12,false,0.021741405,0.125,false,0.022522279
0.14,false,0.021265467,0.04,true,0.022223415
0.3,false,0.021120649,0.015,true,0.022702327
0.29,false,0.020478171,0.02,true,0.035233367
0.365,false,0.02108695,0.115,false,0.022878163
0.295,false,0.020698005,0.0,true,0.022258358
0.29,false,0.02108277,0.005,true,0.022031922
0.105,false,0.020587138,0.15,false,0.022039166
0.395,false,0.020976311,0.045,true,0.021979846
0.255,false,0.02043821,0.015,true,0.022741583
0.135,false,0.01960417,0.01,true,0.023065506
0.49,false,0.02032707,0.04,true,0.022963784
0.07,false,0.020337257,0.015,true,0.024041256
0.105,false,0.020155852,0.05,true,0.025469699
0.345,false,0.020346815,0.02,true,0.023922608
0.5,false,0.021064015,0.005,true,0.02490301
0.355,false,0.020592869,0.16,false,0.024838847
0.24,false,0.020938541,0.055,false,0.025032321
0.385,false,0.02070134,0.035,true,0.025743913
0.47,false,0.020135615,0.0,true,0.024710908
0.445,false,0.020649259,0.025,true,0.02519393
0.375,false,0.020879675,0.015,true,0.024603233
0.025,true,0.021394539,0.055,false,0.025332125
0.395,false,0.021605231,0.015,true,0.024968306
0.3,false,0.020967229,0.005,true,0.024770816
0.34,false,0.020977241,0.045,true,0.02546953
0.115,false,0.021337469,0.01,true,0.025062792
0.405,false,0.020467197,0.005,true,0.025390927
0.415,false,0.020618132,0.0,true,0.024853537
0.135,false,0.020654425,0.02,true,0.028752997
0.325,false,0.026394435,0.055,false,0.022229679
0.18,false,0.019540105,0.0,true,0.022292614
0.125,false,0.020929638,0.095,false,0.022185752
0.06,false,0.020355549,0.1,false,0.022703024
0.29,false,0.019947495,0.055,false,0.02194861
0.165,false,0.019885835,0.015,true,0.022199467
0.095,false,0.019950755,0.15,false,0.022101224
0.545,false,0.020232092,0.02,true,0.022217391
0.28,false,0.020343037,0.03,true,0.022391398
0.245,false,0.020905646,0.02,true,0.022320769
0.665,false,0.021931876,0.035,true,0.022123476
0.475,false,0.021242768,0.0,true,0.020259947
0.125,false,0.021613863,0.02,true,0.022099429
0.215,false,0.02045329,0.03,true,0.021947624
0.33,false,0.021169212,0.045,true,0.021637939
0.445,false,0.020078736,0.09,false,0.021264723
0.255,false,0.021267245,0.04,true,0.021904065
0.46,false,0.020593299,0.095,false,0.021756065
0.125,false,0.020527394,0.03,true,0.023058599
0.215,false,0.021175121,0.01,true,0.022859524
0.475,false,0.020458591,0.05,true,0.022008029
0.075,false,0.02086652,0.0,true,0.022214131
0.05,true,0.020186972,0.005,true,0.022304986
0.36,false,0.020703762,0.075,false,0.022146704
0.23,false,0.021876529,0.04,true,0.028147898
0.25,false,0.02643915,0.01,true,0.022135452
0.2,false,0.020378026,0.105,false,0.021258199
0.365,false,0.021481653,0.025,true,0.022548499
0.47,false,0.020306218,0.025,true,0.021275851
0.33,false,0.020153214,0.155,false,0.021438416
0.33,false,0.020568752,0.1,false,0.022273747
0.34,false,0.020497452,0.035,true,0.021691119
0.285,false,0.020868344,0.015,true,0.022271929
0.525,false,0.020365817,0.005,true,0.021525559
0.285,false,0.020171501,0.05,true,0.021447201
0.19,false,0.019721518,0.025,true,0.022679748
0.35,false,0.020334804,0.06,false,0.021659617
0.325,false,0.021054173,0.035,true,0.022365795
0.18,false,0.020167902,0.005,true,0.022026384
0.4,false,0.021480737,0.005,true,0.02167049
0.265,false,0.0213425,0.005,true,0.021443602
0.24,false,0.019740638,0.005,true,0.022574682
0.68,false,0.020196256,0.03,true,0.02145351
0.445,false,0.020636837,0.045,true,0.021498901
0.595,false,0.021045894,0.02,true,0.022538484
0.43,false,0.020874792,0.005,true,0.022821949
0.295,false,0.020458751,0.125,false,0.022652915
0.225,false,0.020924033,0.165,false,0.021972577
0.51,false,0.019879695,0.015,true,0.021914539
0.485,false,0.020040267,0.05,true,0.027373032
0.235,false,0.025967678,0.02,true,0.02128031
0.39,false,0.020887079,0.165,false,0.022648849
0.135,false,0.019949554,0.015,true,0.022104468
0.465,false,0.019850698,0.0,true,0.021557427
0.41,false,0.020684864,0.025,true,0.020053186
0.125,false,0.022165972,0.02,true,0.021938895
0.31,false,0.021389917,0.0,true,0.022433472
0.56,false,0.020395465,0.025,true,0.021191561
0.345,false,0.020738389,0.015,true,0.022445106
0.525,false,0.020448001,0.045,true,0.022618554
0.055,false,0.020062136,0.02,true,0.020968637
0.38,false,0.020622646,0.0,true,0.022209003
0.445,false,0.020606688,0.035,true,0.022290167
0.385,false,0.020832036,0.115,false,0.023136983
0.27,false,0.019941397,0.025,true,0.023058961
0.38,false,0.020351687,0.005,true,0.022303182
0.21,false,0.020498471,0.0,true,0.022086037
0.375,false,0.021673314,0.0,true,0.02185328
0.125,false,0.020681559,0.005,true,0.023286368
0.515,false,0.020702939,0.005,true,0.023090332
0.37,false,0.020176696,0.0,true,0.022624875
0.29,false,0.020720017,0.025,true,0.022887631
0.485,false,0.020178019,0.02,true,0.022590563
0.21,false,0.021080508,0.01,true,0.023722299
0.34,false,0.021928518,0.03,true,0.034311405
0.305,false,0.026480835,0.005,true,0.022989913
0.64,false,0.021089234,0.0,true,0.022350904
0.225,false,0.019978625,0.015,true,0.023050078
0.22,false,0.021110606,0.0,true,0.021972141
0.165,false,0.020862307,0.04,true,0.022302776
0.305,false,0.021019123,0.035,true,0.021888592
0.175,false,0.019930308,0.015,true,0.022291694
0.29,false,0.020270019,0.0,true,0.022033655
0.145,false,0.02065915,0.005,true,0.024496267
0.245,false,0.020440261,0.015,true,0.024585752
0.48,false,0.022070335,0.005,true,0.02493256
0.46,false,0.020696656,0.035,true,0.024373559
0.455,false,0.020618929,0.15,false,0.025069555
0.39,false,0.020959635,0.035,true,0.025518371
0.275,false,0.020504278,0.005,true,0.024594906
0.55,false,0.020437254,0.025,true,0.024349031
0.24,false,0.020482333,0.01,true,0.022693111
0.3,false,0.020207768,0.045,true,0.024150244
0.185,false,0.020813095,0.005,true,0.025201251
0.13,false,0.020653094,0.025,true,0.025114239
0.34,false,0.020816586,0.015,true,0.025886613
0.41,false,0.021150147,0.035,true,0.024873232
0.285,false,0.020397717,0.02,true,0.023850283
0.41,false,0.02138277,0.01,true,0.025016614
0.125,false,0.020476597,0.0,true,0.024864921
0.39,false,0.026446249,0.04,true,0.022692793
0.35,false,0.021140086,0.13,false,0.022440353
0.36,false,0.021350623,0.0,true,0.022723354
0.425,false,0.01994982,0.04,true,0.021601197
0.175,false,0.019864332,0.0,true,0.022148302
0.325,false,0.020264557,0.04,true,0.02261918
0.21,false,0.020621929,0.055,false,0.022086562
0.41,false,0.020473527,0.055,false,0.022183535
0.27,false,0.019506191,0.06,false,0.02248346
0.33,false,0.020138162,0.06,false,0.023205292
0.165,false,0.020434221,0.03,true,0.025445111
0.28,false,0.021255018,0.015,true,0.025035329
0.13,false,0.020555141,0.0,true,0.024866397
0.32,false,0.020142748,0.0,true,0.024716979
0.22,false,0.020256127,0.005,true,0.024867207
0.45,false,0.020481105,0.005,true,0.025084552
0.04,true,0.020000833,0.0,true,0.024233606
0.175,false,0.02046732,0.04,true,0.024809761
0.455,false,0.020132727,0.02,true,0.025273672
0.3,false,0.020035603,0.04,true,0.024652374
0.295,false,0.020732266,0.005,true,0.024878478
0.27,false,0.021236799,0.02,true,0.025131342
0.26,false,0.020317933,0.06,false,0.023959786
0.195,false,0.020823056,0.01,true,0.025910768
0.445,false,0.020787763,0.02,true,0.0244987
0.455,false,0.021267978,0.055,false,0.028992213
0.265,false,0.019987177,0.075,false,0.022648278
0.265,false,0.020873116,0.02,true,0.022090244
0.21,false,0.020942337,0.015,true,0.02135502
0.23,false,0.019710866,0.0,true,0.021112621
0.255,false,0.020843461,0.01,true,0.021726113
0.12,false,0.020683668,0.01,true,0.021633832
0.225,false,0.019883982,0.03,true,0.022375545
0.115,false,0.020173094,0.02,true,0.02265498
0.285,false,0.020158852,0.015,true,0.022264937
0.205,false,0.020361963,0.0,true,0.022751533
0.215,false,0.020063326,0.085,false,0.023091283
0.08,false,0.021320685,0.015,true,0.023109308
0.535,false,0.020248201,0.005,true,0.022414364
0.515,false,0.020447459,0.05,true,0.022953721
0.475,false,0.020369251,0.045,true,0.023553762
0.455,false,0.020866247,0.1,false,0.023209481
0.195,false,0.020012921,0.01,true,0.022125978
0.395,false,0.020604729,0.01,true,0.022467164
0.49,false,0.020855474,0.06,false,0.02335872
